35,Carrington (1995),Carrington ,1995,Drama|Romance
36,Dead Man Walking (1995),Dead Man Walking ,1995,Crime|Drama
38,It Takes Two (1995),It Takes Two ,1995,Children|Comedy
39,Clueless (1995),Clueless ,1995,Comedy|Romance
40,Cry the Beloved Country (1995),Cry the Beloved Country ,1995,Drama
41,Richard III (1995),Richard III ,1995,Drama|War
42,Dead Presidents (1995),Dead Presidents ,1995,Action|Crime|Drama
43,Restoration (1995),Restoration ,1995,Drama
44,Mortal Kombat (1995),Mortal Kombat ,1995,Action|Adventure|Fantasy
45,To Die For (1995),To Die For ,1995,Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),How to Make an American Quilt ,1995,Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Seven ,1995,Mystery|Thriller
48,Pocahontas (1995),Pocahontas ,1995,Animation|Children|Drama|Musical|Romance
49,When Night Is Falling (1995),When Night Is Falling ,1995,Drama|Romance
50,Usual Suspects the (1995),Usual Suspects the ,1995,Crime|Mystery|Thriller
52,Mighty Aphrodite (1995),Mighty Aphrodite ,1995,Comedy|Drama|Romance
54,Big Green the (1995),Big Green the ,1995,Children|Comedy
55,Georgia (1995),Georgia ,1995,Drama
57,Home for the Holidays (1995),Home for the Holidays ,1995,Drama
58,Postman the (Postino il) (1994),Postman the ,1994,Comedy|Drama|Romance
60,Indian in the Cupboard the (1995),Indian in the Cupboard the ,1995,Adventure|Children|Fantasy
61,Eye for an Eye (1996),Eye for an Eye ,1996,Drama|Thriller
62,Mr. Holland's Opus (1995),Mr. Holland's Opus ,1995,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Comedy|Crime
64,Two if by Sea (1996),Two if by Sea ,1996,Comedy|Romance
65,Bio-Dome (1996),Bio-Dome ,1996,Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace ,1996,Action|Sci-Fi|Thriller
68,French Twist (Gazon maudit) (1995),French Twist ,1995,Comedy|Romance
69,Friday (1995),Friday ,1995,Comedy
70,From Dusk Till Dawn (1996),From Dusk Till Dawn ,1996,Action|Comedy|Horror|Thriller
71,Fair Game (1995),Fair Game ,1995,Action
72,Kicking and Screaming (1995),Kicking and Screaming ,1995,Comedy|Drama
73,Misérables les (1995),Misérables les ,1995,Drama|War
74,Bed of Roses (1996),Bed of Roses ,1996,Drama|Romance
75,Big Bully (1996),Big Bully ,1996,Comedy|Drama
76,Screamers (1995),Screamers ,1995,Action|Sci-Fi|Thriller
77,Nico Icon (1995),Nico Icon ,1995,Documentary
78,Crossing Guard the (1995),Crossing Guard the ,1995,Action|Crime|Drama|Thriller
79,Juror the (1996),Juror the ,1996,Drama|Thriller
80,White Balloon the (Badkonake sefid) (1995),White Balloon the ,1995,Children|Drama
81,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead ,1995,Crime|Drama|Romance
82,Antonia's Line (Antonia) (1995),Antonia's Line ,1995,Comedy|Drama
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored ,1995,Drama|Romance
85,Angels and Insects (1995),Angels and Insects ,1995,Drama|Romance
86,White Squall (1996),White Squall ,1996,Action|Adventure|Drama
87,Dunston Checks In (1996),Dunston Checks In ,1996,Children|Comedy
88,Black Sheep (1996),Black Sheep ,1996,Comedy
89,Nick of Time (1995),Nick of Time ,1995,Action|Thriller
90,The Journey of August King (1995),The Journey of August King ,1995,Drama
92,Mary Reilly (1996),Mary Reilly ,1996,Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Vampire in Brooklyn ,1995,Comedy|Horror|Romance
94,Beautiful Girls (1996),Beautiful Girls ,1996,Comedy|Drama|Romance
95,Broken Arrow (1996),Broken Arrow ,1996,Action|Adventure|Thriller
96,In the Bleak Midwinter (1995),In the Bleak Midwinter ,1995,Comedy|Drama
97,Hate (Haine la) (1995),Hate ,1995,Crime|Drama
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam ,1995,Documentary
100,City Hall (1996),City Hall ,1996,Drama|Thriller
101,Bottle Rocket (1996),Bottle Rocket ,1996,Adventure|Comedy|Crime|Romance
102,Mr. Wrong (1996),Mr. Wrong ,1996,Comedy
103,Unforgettable (1996),Unforgettable ,1996,Mystery|Sci-Fi|Thriller
104,Happy Gilmore (1996),Happy Gilmore ,1996,Comedy
105,Bridges of Madison County the (1995),Bridges of Madison County the ,1995,Drama|Romance
107,Muppet Treasure Island (1996),Muppet Treasure Island ,1996,Adventure|Children|Comedy|Musical
110,Braveheart (1995),Braveheart ,1995,Action|Drama|War
111,Taxi Driver (1976),Taxi Driver ,1976,Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx ,1995,Action|Adventure|Comedy|Crime
113,Before and After (1996),Before and After ,1996,Drama|Mystery
114,Margaret's Museum (1995),Margaret's Museum ,1995,Drama
116,Anne Frank Remembered (1995),Anne Frank Remembered ,1995,Documentary
117,Young Poisoner's Handbook the (1995),Young Poisoner's Handbook the ,1995,Crime|Drama
118,If Lucy Fell (1996),If Lucy Fell ,1996,Comedy|Romance
119,Steal Big Steal Little (1995),Steal Big Steal Little ,1995,Comedy
121,Boys of St. Vincent the (1992),Boys of St. Vincent the ,1992,Drama
122,Boomerang (1992),Boomerang ,1992,Comedy|Romance
123,Chungking Express (Chung Hing sam lam) (1994),Chungking Express ,1994,Drama|Mystery|Romance
124,Star Maker the (Uomo delle stelle l') (1995),The Star Maker,1995,Drama
125,Flirting With Disaster (1996),Flirting With Disaster ,1996,Comedy
126,NeverEnding Story III the (1994),NeverEnding Story III the ,1994,Adventure|Children|Fantasy
132,Jade (1995),Jade ,1995,Thriller
135,Down Periscope (1996),Down Periscope ,1996,Comedy
137,Man of the Year (1995),Man of the Year ,1995,Documentary
140,Up Close and Personal (1996),Up Close and Personal ,1996,Drama|Romance
141,Birdcage the (1996),Birdcage the ,1996,Comedy
144,Brothers McMullen the (1995),Brothers McMullen the ,1995,Comedy
145,Bad Boys (1995),Bad Boys ,1995,Action|Comedy|Crime|Drama|Thriller
146,Amazing Panda Adventure the (1995),Amazing Panda Adventure the ,1995,Adventure|Children
147,Basketball Diaries the (1995),Basketball Diaries the ,1995,Drama
148,Awfully Big Adventure an (1995),Awfully Big Adventure an ,1995,Drama
149,Amateur (1994),Amateur ,1994,Crime|Drama|Thriller
150,Apollo 13 (1995),Apollo 13 ,1995,Adventure|Drama|IMAX
151,Rob Roy (1995),Rob Roy ,1995,Action|Drama|Romance|War
152,Addiction the (1995),Addiction the ,1995,Drama|Horror
153,Batman Forever (1995),Batman Forever ,1995,Action|Adventure|Comedy|Crime
154,Beauty of the Day (Belle de jour) (1967),Beauty of the Day ,1967,Drama
155,Beyond Rangoon (1995),Beyond Rangoon ,1995,Adventure|Drama|War
156,Blue in the Face (1995),Blue in the Face ,1995,Comedy|Drama
157,Canadian Bacon (1995),Canadian Bacon ,1995,Comedy|War
158,Casper (1995),Casper ,1995,Adventure|Children
159,Clockers (1995),Clockers ,1995,Crime|Drama|Mystery
160,Congo (1995),Congo ,1995,Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Crimson Tide ,1995,Drama|Thriller|War
162,Crumb (1994),Crumb ,1994,Documentary
163,Desperado (1995),Desperado ,1995,Action|Romance|Western
164,Devil in a Blue Dress (1995),Devil in a Blue Dress ,1995,Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance ,1995,Action|Crime|Thriller
166,Doom Generation the (1995),Doom Generation the ,1995,Comedy|Crime|Drama
168,First Knight (1995),First Knight ,1995,Action|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home ,1995,Adventure|Children|Drama
170,Hackers (1995),Hackers ,1995,Action|Adventure|Crime|Thriller
171,Jeffrey (1995),Jeffrey ,1995,Comedy|Drama
172,Johnny Mnemonic (1995),Johnny Mnemonic ,1995,Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Judge Dredd ,1995,Action|Crime|Sci-Fi
174,Jury Duty (1995),Jury Duty ,1995,Comedy
175,Kids (1995),Kids ,1995,Drama
176,Living in Oblivion (1995),Living in Oblivion ,1995,Comedy
177,Lord of Illusions (1995),Lord of Illusions ,1995,Horror
178,Love & Human Remains (1993),Love & Human Remains ,1993,Comedy|Drama
179,Mad Love (1995),Mad Love ,1995,Drama|Romance
180,Mallrats (1995),Mallrats ,1995,Comedy|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie ,1995,Action|Children
182,Moonlight and Valentino (1995),Moonlight and Valentino ,1995,Drama|Romance
183,Mute Witness (1994),Mute Witness ,1994,Comedy|Horror|Thriller
184,Nadja (1994),Nadja ,1994,Drama
185,Net the (1995),Net the ,1995,Action|Crime|Thriller
186,Nine Months (1995),Nine Months ,1995,Comedy|Romance
187,Party Girl (1995),Party Girl ,1995,Comedy
188,Prophecy the (1995),Prophecy the ,1995,Fantasy|Horror|Mystery
189,Reckless (1995),Reckless ,1995,Comedy|Fantasy
190,Safe (1995),Safe ,1995,Thriller
191,Scarlet Letter the (1995),Scarlet Letter the ,1995,Drama|Romance
193,Showgirls (1995),Showgirls ,1995,Drama
194,Smoke (1995),Smoke ,1995,Comedy|Drama
195,Something to Talk About (1995),Something to Talk About ,1995,Comedy|Drama|Romance
196,Species (1995),Species ,1995,Horror|Sci-Fi
198,Strange Days (1995),Strange Days ,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,Umbrellas of Cherbourg the (Parapluies de Cherbourg les) (1964),Umbrellas of Cherbourg the ,1964,Drama|Musical|Romance
200,Tie That Binds the (1995),Tie That Binds the ,1995,Thriller
201,Three Wishes (1995),Three Wishes ,1995,Drama|Fantasy
202,Total Eclipse (1995),Total Eclipse ,1995,Drama|Romance
203,To Wong Foo Thanks for Everything! Julie Newmar (1995),To Wong Foo Thanks for Everything! Julie Newmar ,1995,Comedy
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory ,1995,Action
205,Unstrung Heroes (1995),Unstrung Heroes ,1995,Comedy|Drama
206,Unzipped (1995),Unzipped ,1995,Documentary
207,Walk in the Clouds a (1995),Walk in the Clouds a ,1995,Drama|Romance
208,Waterworld (1995),Waterworld ,1995,Action|Adventure|Sci-Fi
209,White Man's Burden (1995),White Man's Burden ,1995,Drama
210,Wild Bill (1995),Wild Bill ,1995,Western
211,Browning Version the (1994),Browning Version the ,1994,Drama
212,Bushwhacked (1995),Bushwhacked ,1995,Adventure|Comedy|Crime|Mystery
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Burnt by the Sun ,1994,Drama
214,Before the Rain (Pred dozhdot) (1994),Before the Rain ,1994,Drama|War
215,Before Sunrise (1995),Before Sunrise ,1995,Drama|Romance
216,Billy Madison (1995),Billy Madison ,1995,Comedy
217,Babysitter the (1995),Babysitter the ,1995,Drama|Thriller
218,Boys on the Side (1995),Boys on the Side ,1995,Comedy|Drama
219,Cure the (1995),Cure the ,1995,Drama
220,Castle Freak (1995),Castle Freak ,1995,Horror
222,Circle of Friends (1995),Circle of Friends ,1995,Drama|Romance
223,Clerks (1994),Clerks ,1994,Comedy
224,Don Juan DeMarco (1995),Don Juan DeMarco ,1995,Comedy|Drama|Romance
225,Disclosure (1994),Disclosure ,1994,Drama|Thriller
227,Drop Zone (1994),Drop Zone ,1994,Action|Thriller
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio ,1995,Comedy
229,Death and the Maiden (1994),Death and the Maiden ,1994,Drama|Thriller
230,Dolores Claiborne (1995),Dolores Claiborne ,1995,Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Dumb & Dumber ,1994,Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Eat Drink Man Woman ,1994,Comedy|Drama|Romance
233,Exotica (1994),Exotica ,1994,Drama
234,Exit to Eden (1994),Exit to Eden ,1994,Comedy
235,Ed Wood (1994),Ed Wood ,1994,Comedy|Drama
236,French Kiss (1995),French Kiss ,1995,Action|Comedy|Romance
237,Forget Paris (1995),Forget Paris ,1995,Comedy|Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Far From Home: The Adventures of Yellow Dog ,1995,Adventure|Children
239,Goofy Movie a (1995),Goofy Movie a ,1995,Animation|Children|Comedy|Romance
240,Hideaway (1995),Hideaway ,1995,Thriller
241,Fluke (1995),Fluke ,1995,Children|Drama
242,Farinelli: il castrato (1994),Farinelli: il castrato ,1994,Drama|Musical
243,Gordy (1995),Gordy ,1995,Children|Comedy|Fantasy
244,Gumby: The Movie (1995),Gumby: The Movie ,1995,Animation|Children
245,The Glass Shield (1994),The Glass Shield ,1994,Crime|Drama
246,Hoop Dreams (1994),Hoop Dreams ,1994,Documentary
247,Heavenly Creatures (1994),Heavenly Creatures ,1994,Crime|Drama
248,Houseguest (1994),Houseguest ,1994,Comedy
249,Immortal Beloved (1994),Immortal Beloved ,1994,Drama|Romance
250,Heavyweights (Heavy Weights) (1995),Heavyweights ,1995,Children|Comedy
251,Hunted the (1995),Hunted the ,1995,Action
252,I.Q. (1994),I.Q. ,1994,Comedy|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Interview with the Vampire: The Vampire Chronicles ,1994,Drama|Horror
254,Jefferson in Paris (1995),Jefferson in Paris ,1995,Drama
255,Jerky Boys the (1995),Jerky Boys the ,1995,Comedy
256,Junior (1994),Junior ,1994,Comedy|Sci-Fi
257,Just Cause (1995),Just Cause ,1995,Mystery|Thriller
258,Kid in King Arthur's Court a (1995),Kid in King Arthur's Court a ,1995,Adventure|Children|Comedy|Fantasy|Romance
259,Kiss of Death (1995),Kiss of Death ,1995,Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope ,1977,Action|Adventure|Sci-Fi
261,Little Women (1994),Little Women ,1994,Drama
262,Little Princess a (1995),Little Princess a ,1995,Children|Drama
263,Ladybird Ladybird (1994),Ladybird Ladybird ,1994,Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate ,1992,Drama|Fantasy|Romance
266,Legends of the Fall (1994),Legends of the Fall ,1994,Drama|Romance|War|Western
267,Major Payne (1995),Major Payne ,1995,Comedy
268,Little Odessa (1994),Little Odessa ,1994,Crime|Drama
269,My Crazy Life (Mi vida loca) (1993),My Crazy Life ,1993,Drama
270,Love Affair (1994),Love Affair ,1994,Drama|Romance
271,Losing Isaiah (1995),Losing Isaiah ,1995,Drama
272,Madness of King George the (1994),Madness of King George the ,1994,Comedy|Drama
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Mary Shelley's Frankenstein ,1994,Drama|Horror|Sci-Fi
274,Man of the House (1995),Man of the House ,1995,Comedy
275,Mixed Nuts (1994),Mixed Nuts ,1994,Comedy
276,Milk Money (1994),Milk Money ,1994,Comedy|Romance
277,Miracle on 34th Street (1994),Miracle on 34th Street ,1994,Drama
278,Miami Rhapsody (1995),Miami Rhapsody ,1995,Comedy
279,My Family (1995),My Family ,1995,Drama
280,Murder in the First (1995),Murder in the First ,1995,Drama|Thriller
281,Nobody's Fool (1994),Nobody's Fool ,1994,Comedy|Drama|Romance
282,Nell (1994),Nell ,1994,Drama
283,New Jersey Drive (1995),New Jersey Drive ,1995,Crime|Drama
287,Nina Takes a Lover (1994),Nina Takes a Lover ,1994,Comedy|Romance
288,Natural Born Killers (1994),Natural Born Killers ,1994,Action|Crime|Thriller
289,Only You (1994),Only You ,1994,Comedy|Romance
290,Once Were Warriors (1994),Once Were Warriors ,1994,Crime|Drama
291,Poison Ivy II (1996),Poison Ivy II ,1996,Drama|Thriller
292,Outbreak (1995),Outbreak ,1995,Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Léon: The Professional ,1994,Action|Crime|Drama|Thriller
294,Perez Family the (1995),Perez Family the ,1995,Comedy|Romance
295,Pyromaniac's Love Story a (1995),Pyromaniac's Love Story a ,1995,Comedy|Romance
296,Pulp Fiction (1994),Pulp Fiction ,1994,Comedy|Crime|Drama|Thriller
297,Panther (1995),Panther ,1995,Drama
298,Pushing Hands (Tui shou) (1992),Pushing Hands ,1992,Drama
299,Priest (1994),Priest ,1994,Drama
300,Quiz Show (1994),Quiz Show ,1994,Drama
301,Picture Bride (Bijo photo) (1994),Picture Bride ,1994,Drama|Romance
302,Queen Margot (Reine Margot la) (1994),Queen Margot ,1994,Drama|Romance
303,Quick and the Dead the (1995),Quick and the Dead the ,1995,Action|Thriller|Western
304,Roommates (1995),Roommates ,1995,Comedy|Drama
305,Ready to Wear (Pret-A-Porter) (1994),Ready to Wear ,1994,Comedy
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Three Colors: Red ,1994,Drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Three Colors: Blue ,1993,Drama
308,Three Colors: White (Trzy kolory: Bialy) (1994),Three Colors: White ,1992,Comedy|Drama
309,Red Firecracker Green Firecracker (Pao Da Shuang Deng) (1994),Red Firecracker Green Firecracker ,1994,Drama
310,Rent-a-Kid (1995),Rent-a-Kid ,1995,Comedy
312,Stuart Saves His Family (1995),Stuart Saves His Family ,1995,Comedy
313,Swan Princess the (1994),Swan Princess the ,1994,Animation|Children
314,Secret of Roan Inish the (1994),Secret of Roan Inish the ,1994,Children|Drama|Fantasy|Mystery
315,Specialist the (1994),Specialist the ,1994,Action|Drama|Thriller
316,Stargate (1994),Stargate ,1994,Action|Adventure|Sci-Fi
317,Santa Clause the (1994),Santa Clause the ,1994,Comedy|Drama|Fantasy
318,Shawshank Redemption the (1994),Shawshank Redemption the ,1994,Crime|Drama
319,Shallow Grave (1994),Shallow Grave ,1994,Comedy|Drama|Thriller
320,Suture (1993),Suture ,1993,Film-Noir|Thriller
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Strawberry and Chocolate ,1993,Drama
322,Swimming with Sharks (1995),Swimming with Sharks ,1995,Comedy|Drama
324,Sum of Us the (1994),Sum of Us the ,1994,Comedy|Drama
325,National Lampoon's Senior Trip (1995),National Lampoon's Senior Trip ,1995,Comedy
326,To Live (Huozhe) (1994),To Live ,1994,Drama
327,Tank Girl (1995),Tank Girl ,1995,Action|Comedy|Sci-Fi
328,Tales from the Crypt Presents: Demon Knight (1995),Tales from the Crypt Presents: Demon Knight ,1995,Horror|Thriller
329,Star Trek: Generations (1994),Star Trek: Generations ,1994,Adventure|Drama|Sci-Fi
330,Tales from the Hood (1995),Tales from the Hood ,1995,Action|Crime|Horror
331,Tom & Viv (1994),Tom & Viv ,1994,Drama
332,Village of the Damned (1995),Village of the Damned ,1995,Horror|Sci-Fi
333,Tommy Boy (1995),Tommy Boy ,1995,Comedy
334,Vanya on 42nd Street (1994),Vanya on 42nd Street ,1994,Drama
335,Underneath (1995),Underneath ,1995,Mystery|Thriller
336,Walking Dead the (1995),Walking Dead the ,1995,Drama|War
337,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape ,1993,Drama
338,Virtuosity (1995),Virtuosity ,1995,Action|Sci-Fi|Thriller
339,While You Were Sleeping (1995),While You Were Sleeping ,1995,Comedy|Romance
340,War the (1994),War the ,1994,Adventure|Drama|War
341,Double Happiness (1994),Double Happiness ,1994,Drama
342,Muriel's Wedding (1994),Muriel's Wedding ,1994,Comedy
343,Baby-Sitters Club the (1995),Baby-Sitters Club the ,1995,Children
344,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective ,1994,Comedy
345,Adventures of Priscilla Queen of the Desert the (1994),Adventures of Priscilla Queen of the Desert the ,1994,Comedy|Drama
346,Backbeat (1993),Backbeat ,1993,Drama|Musical
347,Bitter Moon (1992),Bitter Moon ,1992,Drama|Film-Noir|Romance
348,Bullets Over Broadway (1994),Bullets Over Broadway ,1994,Comedy
349,Clear and Present Danger (1994),Clear and Present Danger ,1994,Action|Crime|Drama|Thriller
350,Client the (1994),Client the ,1994,Drama|Mystery|Thriller
351,Corrina Corrina (1994),Corrina Corrina ,1994,Comedy|Drama|Romance
352,Crooklyn (1994),Crooklyn ,1994,Comedy|Drama
353,Crow the (1994),Crow the ,1994,Action|Crime|Fantasy|Thriller
354,Cobb (1994),Cobb ,1994,Drama
355,Flintstones the (1994),Flintstones the ,1994,Children|Comedy|Fantasy
356,Forrest Gump (1994),Forrest Gump ,1994,Comedy|Drama|Romance|War
357,Four Weddings and a Funeral (1994),Four Weddings and a Funeral ,1994,Comedy|Romance
358,Higher Learning (1995),Higher Learning ,1995,Drama
359,I Like It Like That (1994),I Like It Like That ,1994,Comedy|Drama|Romance
360,I Love Trouble (1994),I Love Trouble ,1994,Action|Comedy
361,It Could Happen to You (1994),It Could Happen to You ,1994,Comedy|Drama|Romance
362,Jungle Book the (1994),Jungle Book the ,1994,Adventure|Children|Romance
363,Wonderful Horrible Life of Leni Riefenstahl the (Macht der Bilder: Leni Riefenstahl Die) (1993),Wonderful Horrible Life of Leni Riefenstahl the Macht der Bilder,1993,Documentary
364,Lion King the (1994),Lion King the ,1994,Adventure|Animation|Children|Drama|Musical|IMAX
365,Little Buddha (1993),Little Buddha ,1993,Drama
366,Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale a) (1994),Wes Craven's New Nightmare ,1994,Drama|Horror|Mystery|Thriller
367,Mask the (1994),Mask the ,1994,Action|Comedy|Crime|Fantasy
368,Maverick (1994),Maverick ,1994,Adventure|Comedy|Western
369,Mrs. Parker and the Vicious Circle (1994),Mrs. Parker and the Vicious Circle ,1994,Drama
370,Naked Gun 33 1/3: The Final Insult (1994),Naked Gun 33 1/3: The Final Insult ,1994,Action|Comedy
371,Paper the (1994),Paper the ,1994,Comedy|Drama
372,Reality Bites (1994),Reality Bites ,1994,Comedy|Drama|Romance
373,Red Rock West (1992),Red Rock West ,1992,Thriller
374,Richie Rich (1994),Richie Rich ,1994,Children|Comedy
375,Safe Passage (1994),Safe Passage ,1994,Drama
376,River Wild the (1994),River Wild the ,1994,Action|Thriller
377,Speed (1994),Speed ,1994,Action|Romance|Thriller
378,Speechless (1994),Speechless ,1994,Comedy|Romance
379,Timecop (1994),Timecop ,1994,Action|Sci-Fi|Thriller
380,True Lies (1994),True Lies ,1994,Action|Adventure|Comedy|Romance|Thriller
381,When a Man Loves a Woman (1994),When a Man Loves a Woman ,1994,Drama|Romance
382,Wolf (1994),Wolf ,1994,Drama|Horror|Romance|Thriller
383,Wyatt Earp (1994),Wyatt Earp ,1994,Western
384,Bad Company (1995),Bad Company ,1995,Action|Crime|Drama
386,S.F.W. (1994),S.F.W. ,1994,Drama
387,Low Down Dirty Shame a (1994),Low Down Dirty Shame a ,1994,Action|Comedy
388,Boys Life (1995),Boys Life ,1995,Drama
389,Colonel Chabert le (1994),Colonel Chabert le ,1994,Drama|Romance|War
390,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill! ,1965,Action|Crime|Drama
391,Jason's Lyric (1994),Jason's Lyric ,1994,Crime|Drama
392,Secret Adventures of Tom Thumb the (1993),Secret Adventures of Tom Thumb the ,1993,Adventure|Animation
393,Street Fighter (1994),Street Fighter ,1994,Action|Adventure|Fantasy
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Highlander III: The Sorcerer ,1994,Action|Fantasy
407,In the Mouth of Madness (1995),In the Mouth of Madness ,1995,Horror|Thriller
408,8 Seconds (1994),8 Seconds ,1994,Drama
409,Above the Rim (1994),Above the Rim ,1994,Crime|Drama
410,Addams Family Values (1993),Addams Family Values ,1993,Children|Comedy|Fantasy
412,Age of Innocence the (1993),Age of Innocence the ,1993,Drama
413,Airheads (1994),Airheads ,1994,Comedy
414,Air Up There the (1994),Air Up There the ,1994,Comedy
415,Another Stakeout (1993),Another Stakeout ,1993,Comedy|Thriller
416,Bad Girls (1994),Bad Girls ,1994,Western
417,Barcelona (1994),Barcelona ,1994,Comedy|Romance
418,Being Human (1993),Being Human ,1993,Drama
419,Beverly Hillbillies the (1993),Beverly Hillbillies the ,1993,Comedy
420,Beverly Hills Cop III (1994),Beverly Hills Cop III ,1994,Action|Comedy|Crime|Thriller
421,Black Beauty (1994),Black Beauty ,1994,Adventure|Children|Drama
422,Blink (1994),Blink ,1994,Thriller
423,Blown Away (1994),Blown Away ,1994,Action|Thriller
424,Blue Chips (1994),Blue Chips ,1994,Drama
425,Blue Sky (1994),Blue Sky ,1994,Drama|Romance
426,Body Snatchers (1993),Body Snatchers ,1993,Horror|Sci-Fi|Thriller
427,Boxing Helena (1993),Boxing Helena ,1993,Drama|Mystery|Romance|Thriller
428,Bronx Tale a (1993),Bronx Tale a ,1993,Drama
429,Cabin Boy (1994),Cabin Boy ,1994,Comedy
430,Calendar Girl (1993),Calendar Girl ,1993,Comedy|Drama
431,Carlito's Way (1993),Carlito's Way ,1993,Crime|Drama
432,City Slickers II: The Legend of Curly's Gold (1994),City Slickers II: The Legend of Curly's Gold ,1994,Adventure|Comedy|Western
433,Clean Slate (1994),Clean Slate ,1994,Comedy
434,Cliffhanger (1993),Cliffhanger ,1993,Action|Adventure|Thriller
435,Coneheads (1993),Coneheads ,1993,Comedy|Sci-Fi
436,Color of Night (1994),Color of Night ,1994,Drama|Thriller
